"iris_id","actifs_2006","chom_2006","empl_2006","ouvrier_2006","TP_2006","Int_2006","app_stage_2006","cdd_2006","rev_2006","HLM_2006","no_transp_2006","walk_2006","moto_2006","voit_2006","TC_2006","HH_2006","HH_moins2ans_2006","HH_2_4ans_2006","HH_5_9ans_2006","HH_plus10ans_2006","HH_with_park_2006","HH_with_voit_2006","HH_1voit_2006","HH_2voit_2006","pop_2006","tx_chom_2006","tx_empl_2006","tx_ouvr_2006","tx_TP_2006","tx_HLM_2006","tx_no_transp_2006","tx_walk_2006","tx_moto_2006","tx_voit_2006","tx_TC_2006","tx_HH_moins2ans_2006","tx_HH_2_4ans_2006","tx_HH_5_9ans_2006","tx_HH_plus10ans_2006","tx_HH_with_park_2006","tx_HH_with_voit_2006","tx_HH_1voit_2006","tx_HH_2voit_2006","tx_empl_prec_2006"
"060450000",37.0,7.0,8.0,20,6.0,0,0,4.0,#N/A,0,0.0,8.0,0,20.0,0.0,50.0,9.0,7.0,13.0,21.0,23.0,44.0,35.0,9.0,101,18.91891892,21.62162162,54.05405405,16.21621622,0,0.0,21.62162162,0,54.05405405,0.0,24.32432432,18.91891892,35.13513514,56.75675676,62.16216216,118.9189189,94.59459459,24.32432432,10.81081081
"060460000",1469.255063,97.908501,431.9565,181.025205,206.314271,21.269145,41.97616603,75.496945,"21551",70.06618,16.423694,39.992223,52.532706,1222.086965,40.598822,1172.0,120.381289,187.475532,212.295562,651.847618,1034.455779,1105.378764,457.857636,647.521129,3161,6.663819201,29.3996945,12.32088353,14.04210039,2.216582727,1.117824564,2.721938757,3.575465372,83.17731861,2.763224917,8.193355397,12.75990376,14.44919724,44.36585821,70.40682078,75.23395984,31.1625699,44.07139001,9.44303406
"060470000",38.975309,5.703704,11.407407,15.209877,5.703704,0,0,2.851852,#N/A,10.45679,3.802469,0.0,0,41.82716,0.0,40.876543,6.654321,8.555556,13.308642,12.358025,11.407407,36.123457,18.061728,18.061728,77,14.63414697,29.26829137,39.02439106,14.63414697,13.58024675,9.756097123,0.0,0,107.3170709,0.0,17.07317061,21.95122045,34.14634121,31.70731757,29.26829137,92.68292652,46.34146198,46.34146198,7.317073484
"060480101",1185.41875,75.74875,515.485,251.84,170.18875,6.88625,30.08070479,68.8625,"18856",223.31125,31.48,90.505,86.57,877.505,39.35,964.075,89.52125,158.38375,191.83125,524.33875,600.0875,827.33375,437.76875,389.565,2605.244167,6.390041494,43.48547718,21.24481328,14.35684647,8.571605411,2.65560166,7.634854772,7.302904564,74.02489627,3.319502075,7.55186722,13.36099585,16.18257261,44.23236515,50.62240664,69.79253112,36.92946058,32.86307054,8.927600883
"060480102",1924.778075,94.44,593.20502,370.750267,324.422798,28.114907,39.10491623,115.083496,"18856",36.39875,82.635,40.33375,90.505,1488.41375,123.929533,1551.37375,119.03375,232.165,288.23875,911.93625,1307.40375,1410.6975,594.185,816.5125,4222.502747,4.90653968,30.81939823,19.26197476,16.85507551,0.862018385,4.29322222,2.095501322,4.702100527,77.32910975,6.438640101,6.184284388,12.06191005,14.97516798,47.37877378,67.92490869,73.29143647,30.87031215,42.42112432,9.471394214
"060490000",54.954545,6.340909,0.0,21.136364,9.511364,0,3.024193548,1.056818,#N/A,0,0.0,0.0,0,50.727273,0.0,41.215909,4.227273,12.681818,4.227273,20.079545,25.363636,41.215909,25.363636,15.852273,93,11.53846147,0.0,38.46153944,17.30769311,0,0.0,0.0,0,92.30769357,0.0,7.692308252,23.07692294,7.692308252,36.53846101,46.15384587,75.00000045,46.15384587,28.84615458,7.426158379
"060500000",219.503311,14.940397,85.907285,48.556291,28.013245,0.933775,3.947663551,9.337748,"14649",15.874172,7.470199,11.205298,3.735099,209.165563,3.735099,186.821192,21.476821,53.225166,38.284768,73.834437,98.046358,169.07947,77.569536,91.509934,425,6.806456327,39.13712491,22.12098341,12.7621059,3.735099294,3.403228391,5.104842359,1.701613968,95.29039086,1.701613968,9.784281113,24.24800143,17.44154465,33.63704933,44.66737087,77.02820938,35.3386633,41.68954609,6.477891603
"060510000",29.012048,3.108434,16.578313,0,3.108434,0,2.020618557,1.036145,"9427",2.072289,0.0,0.0,0,29.012048,0.0,42.481928,3.108434,9.325301,6.216867,23.831325,14.506024,33.156627,16.578313,16.578313,86,10.7142867,57.14285665,0,10.7142867,2.409638372,0.0,0.0,0,100.0,0.0,10.7142867,32.14285665,21.42856995,82.14285665,50.0,114.2857167,57.14285665,57.14285665,10.53618675
"060520000",88.0,9.0,32.0,16,11.0,0,4,3.0,"11675",26,0.0,0.0,4,76.0,0.0,88.0,12.0,20.0,22.0,34.0,34.0,80.0,47.0,33.0,198,10.22727273,36.36363636,18.18181818,12.5,13.13131313,0.0,0.0,4.545454545,86.36363636,0.0,13.63636364,22.72727273,25.0,38.63636364,38.63636364,90.90909091,53.40909091,37.5,7.954545455
"060530000",45.74231,0.994398,23.865553,7.955184,5.966388,1.988796,0,4.97199,"15211",0,0.0,0.0,0,43.753514,0.0,60.65828,5.966388,9.94398,8.949582,35.798329,41.764718,48.725504,27.843145,20.882359,120.322163,2.173912948,52.17391295,17.39130359,13.04347769,0,0.0,0.0,0,95.6521741,0.0,13.04347769,21.73912948,19.56521654,78.26086833,91.30434821,106.5217388,60.86956474,45.6521741,15.21739064
